Funeral Home,Clean FH name for LP,URL param,,Landing Page Built,Buttons Completed,Zap,Mailchimp Template,Mailchimp Audience,Mailchimp complete,Mailchimp Audience name,Mailchimp Audience Id,New Landing page name,Form code added,Page Published in Leadpages,Page switched in Wordpress,Notes,,2022 Landing page Address,new lp core url,2023 NEW LP URL,Account Owner,Campaign Name,Campaign ID,NEW campaign ID,Counselor (Contact + Lead Owner),Contact ID,Lead Owner ID,Account ID,L2P?,Logo link,Logo above header,Header Link,Video Embed code,Email Customizations,Drop Down Customizations,LP Customizations,Automation Customizations,CC'd on Emails,Account Website,zapier identifier,Notes,Tested?,tested by,
A Simple Service Burial & Cremation- Lancaster,A Simple Service Burial & Cremation,3,,✅,✅,,✅,✅,✅,A Simple Service- Landing Page,b874947c15,,,,✅,,,http://preplanafuneral.com/asimpleservice,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=3,Suzanne Lundin,Internet Campaign - A Simple Service - Lancaster,7010B000001ly5E,7014O000001Tgx1QAC,Renae Brown,0034O000030e4eu,0054O000008wbM5,001U000000h90Gj,,https://info.preplanafuneral.com/rs/852-LNK-689/images/A%20Simple%20Service%20Logo%20Transparent.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/a.simple.service..png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,https://www.asimpleservice.com/,a-simple-service,,TRUE,Casey,
Alexander Funeral Home - Lafayette,Alexander Funeral Home,5,,✅,✅,,✅,✅,✅,Alexander- Landing Page V2,1f15bb1cd0,,,,✅,Video Unavailable,,http://preplanafuneral.com/alexander,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=5,Sabrina Simmons,Internet Campaign - Alexander Funeral Home,701U0000000CI5F,7014O000001Th5lQAC,Sebrina Westjohn,0034O000035L8P6QAK,0054O000009hNnEQAU,001U000000EiY0U,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sellars%20Banner%20HOME%20-%20White.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/alexanderheader.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,http://www.alexanderfh.com/,,,TRUE,Casey,
Blyth- Greenwood,Blyth Funeral Home and Cremation Services,7,,,,,,,,,,,,,,,,https://preplanafuneral.com/blyth,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=7,Suzanne Lundin,Internet Campaign- Blyth Funeral Home,,7014O000001qGdF,Tim Haynes,0034O00002oNyPz,0054O000009hgPa,0010B000024b56m,,https://info.preplanafuneral.com/rs/852-LNK-689/images/_Blyth%20Funeral%20Home.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Blyth-header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",Indiviual emails with LP dropdown options- zap pathways,"Traditional Burial# Cremation# Cemetery Information# Traditional Burial and Cremation# Traditional Burial, Cremation, and Cemetery Information ",,,,,,dropdown still messed up 5/30,FALSE,Casey,
Caldwell Parrish Funeral Home & Crematory-Urbandale,Caldwell Parrish Funeral Home & Crematory,8,,,,,,,,,,,,,,,,https://preplanafuneral.com/caldwellparrish,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=8,Caryl Jermier,Internet Campaign- Caldwell Parrish Funeral Home,701U0000001EM5e,7014O000001qGdr,Shannon Heinen,0030B000025oecQQAQ,0054O0000091SbT,001U000001e84IX,yes,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell%20Parrish%20Logo.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,round robin w/ PK,,,,,TRUE,Casey,
,,,,,,,,,,,,,,,,,,,,,,,,,PK Christopherson,0034O000036iTI0QAM,,,yes,,,,,,,,,,,,,TRUE,Casey,
Cotter Funeral and Cremation Care - De Pere,Cotter Funeral and Cremation Care,11,,✅,✅,,✅,✅,✅,Cotter- Landing Page,129b0d945d,,,,✅,,,http://preplanafuneral.com/cotter,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=11,Caryl Jermier,Internet Campaign - Cotter Funeral Homes & Crematory,7014O000001h4Rt,7014O000001qGdz,Dana Paler,0034O00002xDzm9,0054O00000A8dvA,0014O000026Ao0T,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Cotter%20funeral%20and%20cremation%20care.jpeg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Cotter.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,www.cotterfuneralhome.com,,,TRUE,,
Forbis & Dick Funeral Service - North Elm Chapel,Forbis & Dick Funeral Service - North Elm Chapel,12,,✅,✅,,✅,✅,✅,Forbis and Dick (North Elm)- Landing Page,90803482c8,,,,✅,,,www.preplanafuneral.com/forbisanddick,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=12,Suzanne Lundin,Internet Campaign - Forbis & Dick,701U0000001EG3X,7014O000001qGdc,Brad Steele,0030B00002S27xc,0054O0000091UNT,001U000000mriY8,yes,https://info.preplanafuneral.com/rs/852-LNK-689/images/Forbis%20%26%20Dick%20Logo-%20Color.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/Forbis%20%26%20Dick%20Logo-%20Color.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/Forbis%26Dick.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,www.forbisanddick.com,forbis-dick-fh,,TRUE,,
Heritage Funeral & Cremation Services - Weddington,Heritage Funeral & Cremation Services,17,,✅,✅,,✅,✅,✅,Heritage Weddington- Landing Page,f675c5a406,,,,✅,,,http://preplanafuneral.com/heritage,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=17,Caryl Jermier,Internet Campaign - Heritage Funeral & Cremation Services - Weddington,7010B000001RbIU,7014O000001qGdn,David Murray,0034O00002saOns,0054O000009Gz1JQAS,0010B00001ow1Xn,removed,https://info.preplanafuneral.com/rs/852-LNK-689/images/HeritageFH.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/HeritageFH.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/Heritage-Weddington.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,http://www.heritagefuneral.net,,,TRUE,,
Hindt & Hindt-Hudek Funeral Homes - Spring Valley (Second Location),Hindt & Hindt-Hudek Funeral Homes,18,,✅,✅,,✅,✅,✅,Hindt & Hindt-Hudek - Landing Page,d122ea5170,,,,✅,ask casey about location,,http://preplanafuneral.com/hindthudek,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=18,Caryl Jermier,Internet Campaign - Hindt & Hindt-Hudek Funeral Home,7010B000001lxep,7014O000001qGdR,Nicole Johnson,0034O00002VKvQL,0054O0000091v3L,0010B0000208xqa,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Hindt-Hudek%20Funeral%20Homes%20logo%20%281%29.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Hindt.header.jpg,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,www.hindtfuneralhomes.com,,,TRUE,,
Kerr Brothers Funeral Home - Harrodsburg Rd - Lexington,Kerr Brothers Funeral Home,26,,✅,✅,,✅,✅,✅,Kerr (Harrodsburg Rd)- Landing Page,ed6fe0a3c1,,,"3 Buttons- TB, Cremation, POM Kit",✅,,,www.preplanafuneral.com/kerrbrothers,http://info.preplanafuneral.com/getstarted?client_code=,http://info.preplanafuneral.com/getstarted?client_code=26,Sabrina Simmons,Internet Campaign - Kerr Brothers,701U0000000CICa,7014O000001qGck,Kelly S Mead,003U000001T0BDs,003U000001T0BDs,001U000000VUicO,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Kerr%20Brothers%20Logo%20no%201905.jpeg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/kerrbros.header.jpg,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823837336?h=bdcc382d01&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Kerr Brothers Funeral Home Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>","3 Buttons- TB, Cremation, Life Planning Guide",,custom video,,,http://www.kerrbrothersfuneralhome.com,kerr-brothers-fh,,TRUE,,
