Account Name,Account ID,Added to marketo data update flow,Google Review URL,Funeral Home Logos URL,Facebook Page URL,,Final FB Reviews URL,Notes,URL Param/ client code,Core RG URL,Alternate RG URL Core,,Client Review Gateway URL,Alternate (Alias URL),,Survey URL,,Start Start Lead Import Info →,,GWLW- Contact Name,GWLW - Contact ID,GWLW - User ID,Landing Pg Campaign ID,Source,,GWLW Signup URL Core,Client GWLW Signup URL,,RG- Contact Name,RG - Contact ID,RG- User ID,Source,Survey core URL
A Simple Service Burial & Cremation- Gastonia,001U000001QVHQh,FALSE,https://search.google.com/local/writereview?placeid=ChIJGVbym76_VogR47kuG4LWKoo,https://info.preplanafuneral.com/rs/852-LNK-689/images/A%20Simple%20Service%20Logo%20Transparent.png,https://www.facebook.com/ASimpleServiceGastonia,/reviews/,,Facebook reviews turned off,2,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=2,https://review.funeralservicesurvey.com/reviews.html?client_code=2,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=2,,,,Renea Brown,,0054O000008wbM5,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=2,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
A Simple Service Burial & Cremation- Lancaster,001U000000h90Gj,FALSE,https://search.google.com/local/writereview?placeid=ChIJOfLC9aXXVYgR0bPm1kbRTF8,https://info.preplanafuneral.com/rs/852-LNK-689/images/A%20Simple%20Service%20Logo%20Transparent.png,https://www.facebook.com/ASimpleServiceLancaster,/reviews/,https://www.facebook.com/ASimpleServiceLancaster/reviews/,,3,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=3,https://review.funeralservicesurvey.com/reviews.html?client_code=3,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=3,,,,Renea Brown,0034O000030e4eu,0054O000008wbM5,7010B000001ly5E,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=3,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Ahlgrim & Sons Funeral and Cremation Services - Schaumburg,0010B000025NpPl,FALSE,https://search.google.com/local/writereview?placeid=ChIJ3UGsW0yvD4gRHS8B3j9sA2Y,https://info.preplanafuneral.com/rs/852-LNK-689/images/Ahlgrim%20Logo.png,https://www.facebook.com/profile.php?id=100041564065304,/reviews/,https://www.facebook.com/profile.php?id=100041564065304&sk=reviews,,193,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=193,https://review.funeralservicesurvey.com/reviews.html?client_code=193,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=193,,,,Kathy Ahlgrim,0030B00002S2Bem,0054O000009hg5V,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=193,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Alexander Family Heritage Funeral Home- Gallatin,0014O000025phpk,FALSE,https://search.google.com/local/writereview?placeid=ChIJ04tsahUwZIgRtWMFz-doQKQ,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sellars%20Banner%20HOME%20-%20White.jpg,https://www.facebook.com/SellarsFHGallatin,/reviews/,https://www.facebook.com/SellarsFHGallatin/reviews/,,4,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=4,https://review.funeralservicesurvey.com/reviews.html?client_code=4,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=4,,,,Jennie Alexander,003U000001SzubzI,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=4,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Alexander Funeral Home - Lafayette,001U000000EiY0U,FALSE,https://search.google.com/local/writereview?placeid=ChIJA4Z3SO2JZogRbk1OnNqL2Wc,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sellars%20Banner%20HOME%20-%20White.jpg,https://www.facebook.com/alexanderfuneralhomeandmemorialgardens,/reviews/,https://www.facebook.com/alexanderfuneralhomeandmemorialgardens/reviews/,,5,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=5,https://review.funeralservicesurvey.com/reviews.html?client_code=5,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=5,,,,Scott Moore,0034O00002uadMW,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=5,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Bennett Funeral Service - Conover,0010B00001qJuVnQAK,FALSE,https://search.google.com/local/writereview?placeid=ChIJN_qcxVQ3UYgRxYRHPYW7sZE,https://info.preplanafuneral.com/rs/852-LNK-689/images/BENNETT%20FUNERAL%20SERVICE%20LOGO.jpg,https://www.facebook.com/bennettfuneralservice,/reviews/,https://www.facebook.com/bennettfuneralservice/reviews/,,116,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=116,https://review.funeralservicesurvey.com/reviews.html?client_code=116,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=116,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=116,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Bennett Funeral Service - Newton,0014O000026PWPR,FALSE,https://search.google.com/local/writereview?placeid=ChIJPwuPV-ZKUYgRqlw_LQ-J_Tc,https://info.preplanafuneral.com/rs/852-LNK-689/images/BENNETT%20FUNERAL%20SERVICE%20LOGO.jpg,https://www.facebook.com/bennettfuneralservice/,/reviews/,https://www.facebook.com/bennettfuneralservice/reviews/,,6,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=6,https://review.funeralservicesurvey.com/reviews.html?client_code=6,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=6,,,,Tommy Young,0034O00002uaijS,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=6,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Bennett-May & Pierce Funeral Home & Crematory - Pulaski,001U000000VVRQfIAP,FALSE,https://search.google.com/local/writereview?placeid=ChIJLYuxmoT9YogRRcnI-wU-klg,https://info.preplanafuneral.com/rs/852-LNK-689/images/BMP%20Logo.png,https://www.facebook.com/BMPFuneralHome,/reviews/,https://www.facebook.com/BMPFuneralHome/reviews/,,117,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=117,https://review.funeralservicesurvey.com/reviews.html?client_code=117,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=117,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=117,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Blyth Funeral Home and Cremation Services - Greenwood,0010B000024b56m,FALSE,https://search.google.com/local/writereview?placeid=ChIJGZIarU0A-IgRcQ2-Dim7iD8,https://info.preplanafuneral.com/rs/852-LNK-689/images/_Blyth%20Funeral%20Home.png,https://www.facebook.com/blythfuneralhome,/reviews/,https://www.facebook.com/blythfuneralhome/reviews/,,7,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=7,https://review.funeralservicesurvey.com/reviews.html?client_code=7,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=7,,,,Tim Haynes,0034O00002oNyPz,0054O000009hgPa,7010B000000vK97,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=7,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
Cabarrus Funeral Cremation and Cemetery - Concord,0014O00002LB1OJQA1,FALSE,https://search.google.com/local/writereview?placeid=ChIJ4WEvx00MVIgRTqSQ1vFvre0,https://info.preplanafuneral.com/rs/852-LNK-689/images/Cabarrus-%20Logo.PNG,https://www.facebook.com/cabarrusfuneralandcremation,/reviews/,,Facebook reviews turned off,118,https://info.preplanafuneral.com/reviews.html?client_code=,https://review.funeralservicesurvey.com/reviews.html?client_code=,,https://info.preplanafuneral.com/reviews.html?client_code=118,https://review.funeralservicesurvey.com/reviews.html?client_code=118,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=118,,,,,,,,,,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=,https://info.preplanafuneral.com/GWLW-Signup.html?client_code=118,,,,,,https://info.preplanafuneral.com/Survey-pt1.html?client_code=
